id,cp,estado,municipio,localidad,estimlo_ft,time_zone
1,00000,AGU,0,0,0,America/Mexico_City
2,20000,AGU,1,1,0,America/Mexico_City
3,20001,AGU,,,0,America/Mexico_City
4,20002,AGU,,,0,America/Mexico_City
5,20003,AGU,,,0,America/Mexico_City
6,20004,AGU,,,0,America/Mexico_City
7,20005,AGU,,,0,America/Mexico_City
8,20006,AGU,,,0,America/Mexico_City
9,20007,AGU,,,0,America/Mexico_City
10,20008,AGU,,,0,America/Mexico_City
11,20009,AGU,,,0,America/Mexico_City
12,20010,AGU,1,1,0,America/Mexico_City
13,20011,AGU,,,0,America/Mexico_City
14,20012,AGU,,,0,America/Mexico_City
15,20013,AGU,,,0,America/Mexico_City
16,20014,AGU,,,0,America/Mexico_City
17,20015,AGU,,,0,America/Mexico_City
18,20016,AGU,1,1,0,America/Mexico_City
19,20017,AGU,,,0,America/Mexico_City
20,20018,AGU,1,1,0,America/Mexico_City
21,20019,AGU,,,0,America/Mexico_City
22,20020,AGU,1,1,0,America/Mexico_City
23,20021,AGU,,,0,America/Mexico_City
24,20022,AGU,,,0,America/Mexico_City
25,20023,AGU,,,0,America/Mexico_City
26,20024,AGU,,,0,America/Mexico_City
27,20025,AGU,,,0,America/Mexico_City
28,20026,AGU,,,0,America/Mexico_City
29,20027,AGU,,,0,America/Mexico_City
30,20028,AGU,,,0,America/Mexico_City
31,20029,AGU,1,1,0,America/Mexico_City
32,20030,AGU,1,1,0,America/Mexico_City
33,20031,AGU,,,0,America/Mexico_City
34,20032,AGU,,,0,America/Mexico_City
35,20033,AGU,,,0,America/Mexico_City
36,20034,AGU,,,0,America/Mexico_City
37,20035,AGU,,,0,America/Mexico_City
38,20036,AGU,,,0,America/Mexico_City
39,20037,AGU,,,0,America/Mexico_City
40,20038,AGU,,,0,America/Mexico_City
41,20039,AGU,,,0,America/Mexico_City
42,20040,AGU,1,1,0,America/Mexico_City
43,20041,AGU,,,0,America/Mexico_City
44,20042,AGU,,,0,America/Mexico_City
45,20043,AGU,,,0,America/Mexico_City
46,20044,AGU,,,0,America/Mexico_City
47,20045,AGU,,,0,America/Mexico_City
48,20046,AGU,,,0,America/Mexico_City
49,20047,AGU,,,0,America/Mexico_City
50,20048,AGU,,,0,America/Mexico_City
51,20049,AGU,1,1,0,America/Mexico_City
52,20050,AGU,1,1,0,America/Mexico_City
